From	To	Species	Gene Name
2706	GJB2	Homo sapiens	gap junction protein beta 2(GJB2)
147949	ZNF583	Homo sapiens	zinc finger protein 583(ZNF583)
2703	GJA8	Homo sapiens	gap junction protein alpha 8(GJA8)
43847	KLK14	Homo sapiens	kallikrein related peptidase 14(KLK14)
43849	KLK12	Homo sapiens	kallikrein related peptidase 12(KLK12)
2710	gk	Homo sapiens	glycerol kinase(GK)
2719	GPC3	Homo sapiens	glypican 3(GPC3)
50964	sost	Homo sapiens	sclerostin(SOST)
286826	LIN9	Homo sapiens	lin-9 DREAM MuvB core complex component(LIN9)
286827	trim59	Homo sapiens	tripartite motif containing 59(TRIM59)
122622	ADSSL1	Homo sapiens	adenylosuccinate synthase like 1(ADSSL1)
147968	CAPN12	Homo sapiens	calpain 12(CAPN12)
59307	SIGIRR	Homo sapiens	single Ig and TIR domain containing(SIGIRR)
2729	GCLC	Homo sapiens	glutamate-cysteine ligase catalytic subunit(GCLC)
132001	TAMM41	Homo sapiens	TAM41 mitochondrial translocator assembly and maintenance homolog(TAMM41)
345630	FBLL1	Homo sapiens	fibrillarin-like 1(FBLL1)
1404	HAPLN1	Homo sapiens	hyaluronan and proteoglycan link protein 1(HAPLN1)
2735	GLI1	Homo sapiens	GLI family zinc finger 1(GLI1)
2734	GLG1	Homo sapiens	golgi glycoprotein 1(GLG1)
2733	GLE1	Homo sapiens	GLE1, RNA export mediator(GLE1)
1401	CRP	Homo sapiens	C-reactive protein(CRP)
1400	CRMP1	Homo sapiens	collapsin response mediator protein 1(CRMP1)
2731	GLDC	Homo sapiens	glycine decarboxylase(GLDC)
2730	GCLM	Homo sapiens	glutamate-cysteine ligase modifier subunit(GCLM)
1409	cryaa	Homo sapiens	crystallin alpha A(CRYAA)
1408	CRY2	Homo sapiens	cryptochrome circadian clock 2(CRY2)
1407	CRY1	Homo sapiens	cryptochrome circadian clock 1(CRY1)
2738	GLI4	Homo sapiens	GLI family zinc finger 4(GLI4)
1406	CRX	Homo sapiens	cone-rod homeobox(CRX)
122616	C14orf79	Homo sapiens	chromosome 14 open reading frame 79(C14orf79)
135927	C7orf34	Homo sapiens	chromosome 7 open reading frame 34(C7orf34)
2746	GLUD1	Homo sapiens	glutamate dehydrogenase 1(GLUD1)
1414	CRYBB1	Homo sapiens	crystallin beta B1(CRYBB1)
2745	GLRX	Homo sapiens	glutaredoxin(GLRX)
2744	GLS	Homo sapiens	glutaminase(GLS)
1412	CRYBA2	Homo sapiens	crystallin beta A2(CRYBA2)
1411	CRYBA1	Homo sapiens	crystallin beta A1(CRYBA1)
2742	GLRA2	Homo sapiens	glycine receptor alpha 2(GLRA2)
1410	CRYAB	Homo sapiens	crystallin alpha B(CRYAB)
388743	CAPN8	Homo sapiens	calpain 8(CAPN8)
2740	GLP1R	Homo sapiens	glucagon like peptide 1 receptor(GLP1R)
1418	CRYGA	Homo sapiens	crystallin gamma A(CRYGA)
1417	CRYBB3	Homo sapiens	crystallin beta B3(CRYBB3)
147906	DACT3	Homo sapiens	dishevelled binding antagonist of beta catenin 3(DACT3)
50999	TMED5	Homo sapiens	transmembrane p24 trafficking protein 5(TMED5)
2747	GLUD2	Homo sapiens	glutamate dehydrogenase 2(GLUD2)
135935	NOBOX	Homo sapiens	NOBOX oogenesis homeobox(NOBOX)
90196	SYS1	Homo sapiens	SYS1, golgi trafficking protein(SYS1)
259230	SGMS1	Homo sapiens	sphingomyelin synthase 1(SGMS1)
59339	PLEKHA2	Homo sapiens	pleckstrin homology domain containing A2(PLEKHA2)
59338	PLEKHA1	Homo sapiens	pleckstrin homology domain containing A1(PLEKHA1)
2752	GLUL	Homo sapiens	glutamate-ammonia ligase(GLUL)
1420	CRYGC	Homo sapiens	crystallin gamma C(CRYGC)
59336	PRDM13	Homo sapiens	PR/SET domain 13(PRDM13)
151176	ERFE	Homo sapiens	erythroferrone(ERFE)
1428	CRYM	Homo sapiens	crystallin mu(CRYM)
151194	METTL21A	Homo sapiens	methyltransferase like 21A(METTL21A)
1440	CSF3	Homo sapiens	colony stimulating factor 3(CSF3)
2771	GNAI2	Homo sapiens	G protein subunit alpha i2(GNAI2)
59342	SCPEP1	Homo sapiens	serine carboxypeptidase 1(SCPEP1)
59341	TRPV4	Homo sapiens	transient receptor potential cation channel subfamily V member 4(TRPV4)
59344	ALOXE3	Homo sapiens	arachidonate lipoxygenase 3(ALOXE3)
59343	SENP2	Homo sapiens	SUMO1/sentrin/SMT3 specific peptidase 2(SENP2)
163175	LGI4	Homo sapiens	leucine rich repeat LGI family member 4(LGI4)
1437	CSF2	Homo sapiens	colony stimulating factor 2(CSF2)
1436	CSF1R	Homo sapiens	colony stimulating factor 1 receptor(CSF1R)
84305	PYM1	Homo sapiens	PYM homolog 1, exon junction complex associated factor(PYM1)
2767	GNA11	Homo sapiens	G protein subunit alpha 11(GNA11)
59349	KLHL12	Homo sapiens	kelch like family member 12(KLHL12)
147923	ZNF420	Homo sapiens	zinc finger protein 420(ZNF420)
1435	CSF1	Homo sapiens	colony stimulating factor 1(CSF1)
2766	GMPR	Homo sapiens	guanosine monophosphate reductase(GMPR)
1434	CSE1L	Homo sapiens	chromosome segregation 1 like(CSE1L)
84307	ZNF397	Homo sapiens	zinc finger protein 397(ZNF397)
2765	GML	Homo sapiens	glycosylphosphatidylinositol anchored molecule like(GML)
2764	GMFB	Homo sapiens	glia maturation factor beta(GMFB)
1432	MAPK14	Homo sapiens	mitogen-activated protein kinase 14(MAPK14)
1431	CS	Homo sapiens	citrate synthase(CS)
2762	GMDS	Homo sapiens	GDP-mannose 4,6-dehydratase(GMDS)
122664	TPPP2	Homo sapiens	tubulin polymerization promoting protein family member 2(TPPP2)
84300	UQCC2	Homo sapiens	ubiquinol-cytochrome c reductase complex assembly factor 2(UQCC2)
1439	CSF2RB	Homo sapiens	colony stimulating factor 2 receptor beta common subunit(CSF2RB)
1438	CSF2RA	Homo sapiens	colony stimulating factor 2 receptor alpha subunit(CSF2RA)
59350	RXFP1	Homo sapiens	relaxin/insulin like family peptide receptor 1(RXFP1)
375449	MAST4	Homo sapiens	microtubule associated serine/threonine kinase family member 4(MAST4)
2779	GNAT1	Homo sapiens	G protein subunit alpha transducin 1(GNAT1)
1447	CSN2	Homo sapiens	casein beta(CSN2)
2778	GNAS	Homo sapiens	GNAS complex locus(GNAS)
1446	CSN1S1	Homo sapiens	casein alpha s1(CSN1S1)
1445	CSK	Homo sapiens	c-src tyrosine kinase(CSK)
2776	GNAQ	Homo sapiens	G protein subunit alpha q(GNAQ)
1444	CSHL1	Homo sapiens	chorionic somatomammotropin hormone like 1(CSHL1)
2775	GNAO1	Homo sapiens	G protein subunit alpha o1(GNAO1)
388753	coa6	Homo sapiens	cytochrome c oxidase assembly factor 6(COA6)
2773	gnai3	Homo sapiens	G protein subunit alpha i3(GNAI3)
1441	CSF3R	Homo sapiens	colony stimulating factor 3 receptor(CSF3R)
151195	CCNYL1	Homo sapiens	cyclin Y like 1(CCNYL1)
1462	VCAN	Homo sapiens	versican(VCAN)
2793	GNGT2	Homo sapiens	G protein subunit gamma transducin 2(GNGT2)
2792	GNGT1	Homo sapiens	G protein subunit gamma transducin 1(GNGT1)
1460	CSNK2B	Homo sapiens	casein kinase 2 beta(CSNK2B)
2791	GNG11	Homo sapiens	G protein subunit gamma 11(GNG11)
2790	GNG10	Homo sapiens	G protein subunit gamma 10(GNG10)
124790	HEXIM2	Homo sapiens	hexamethylene bisacetamide inducible 2(HEXIM2)
1459	CSNK2A2	Homo sapiens	casein kinase 2 alpha 2(CSNK2A2)
27087	B3GAT1	Homo sapiens	beta-1,3-glucuronyltransferase 1(B3GAT1)
1457	CSNK2A1	Homo sapiens	casein kinase 2 alpha 1(CSNK2A1)
2788	GNG7	Homo sapiens	G protein subunit gamma 7(GNG7)
27085	MTBP	Homo sapiens	MDM2 binding protein(MTBP)
2787	GNG5	Homo sapiens	G protein subunit gamma 5(GNG5)
27086	FOXP1	Homo sapiens	forkhead box P1(FOXP1)
1455	CSNK1G2	Homo sapiens	casein kinase 1 gamma 2(CSNK1G2)
2786	GNG4	Homo sapiens	G protein subunit gamma 4(GNG4)
1454	csnk1e	Homo sapiens	casein kinase 1 epsilon(CSNK1E)
2785	GNG3	Homo sapiens	G protein subunit gamma 3(GNG3)
2784	GNB3	Homo sapiens	G protein subunit beta 3(GNB3)
27089	Uqcrq	Homo sapiens	ubiquinol-cytochrome c reductase complex III subunit VII(UQCRQ)
1452	CSNK1A1	Homo sapiens	casein kinase 1 alpha 1(CSNK1A1)
2783	GNB2	Homo sapiens	G protein subunit beta 2(GNB2)
91646	TDRD12	Homo sapiens	tudor domain containing 12(TDRD12)
135458	HUS1B	Homo sapiens	HUS1 checkpoint clamp component B(HUS1B)
340481	ZDHHC21	Homo sapiens	zinc finger DHHC-type containing 21(ZDHHC21)
90313	tp53i13	Homo sapiens	tumor protein p53 inducible protein 13(TP53I13)
1472	CST4	Homo sapiens	cystatin S(CST4)
124783	SPATA32	Homo sapiens	spermatogenesis associated 32(SPATA32)
1471	CST3	Homo sapiens	cystatin C(CST3)
1470	CST2	Homo sapiens	cystatin SA(CST2)
1469	CST1	Homo sapiens	cystatin SN(CST1)
1468	SLC25A10	Homo sapiens	solute carrier family 25 member 10(SLC25A10)
2799	GNS	Homo sapiens	glucosamine (N-acetyl)-6-sulfatase(GNS)
2797	gnrh2	Homo sapiens	gonadotropin releasing hormone 2(GNRH2)
1465	CSRP1	Homo sapiens	cysteine and glycine rich protein 1(CSRP1)
2796	GNRH1	Homo sapiens	gonadotropin releasing hormone 1(GNRH1)
1464	CSPG4	Homo sapiens	chondroitin sulfate proteoglycan 4(CSPG4)
2794	GNL1	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
27094	KCNMB3	Homo sapiens	potassium calcium-activated channel subfamily M regulatory beta subunit 3(KCNMB3)
27095	TRAPPC3	Homo sapiens	trafficking protein particle complex 3(TRAPPC3)
400629	TEX19	Homo sapiens	testis expressed 19(TEX19)
160428	ALDH1L2	Homo sapiens	aldehyde dehydrogenase 1 family member L2(ALDH1L2)
1482	NKX2-5	Homo sapiens	NK2 homeobox 5(NKX2-5)
339487	ZBTB8OS	Homo sapiens	zinc finger and BTB domain containing 8 opposite strand(ZBTB8OS)
27065	NSG1	Homo sapiens	neuron specific gene family member 1(NSG1)
1479	CSTF3	Homo sapiens	cleavage stimulation factor subunit 3(CSTF3)
27063	ANKRD1	Homo sapiens	ankyrin repeat domain 1(ANKRD1)
1478	CSTF2	Homo sapiens	cleavage stimulation factor subunit 2(CSTF2)
1477	CSTF1	Homo sapiens	cleavage stimulation factor subunit 1(CSTF1)
552900	bola2	Homo sapiens	bolA family member 2(BOLA2)
1476	CSTB	Homo sapiens	cystatin B(CSTB)
1474	CST6	Homo sapiens	cystatin E/M(CST6)
90338	ZNF160	Homo sapiens	zinc finger protein 160(ZNF160)
221908	PPP1R35	Homo sapiens	protein phosphatase 1 regulatory subunit 35(PPP1R35)
92999	ZBTB47	Homo sapiens	zinc finger and BTB domain containing 47(ZBTB47)
91662	NLRP12	Homo sapiens	NLR family pyrin domain containing 12(NLRP12)
64065	PERP	Homo sapiens	PERP, TP53 apoptosis effector(PERP)
91663	MYADM	Homo sapiens	myeloid associated differentiation marker(MYADM)
90332	EXOC3L2	Homo sapiens	exocyst complex component 3 like 2(EXOC3L2)
64067	NPAS3	Homo sapiens	neuronal PAS domain protein 3(NPAS3)
91661	Znf765	Homo sapiens	zinc finger protein 765(ZNF765)
134145	FAM173B	Homo sapiens	family with sequence similarity 173 member B(FAM173B)
161742	SPRED1	Homo sapiens	sprouty related EVH1 domain containing 1(SPRED1)
90333	ZNF468	Homo sapiens	zinc finger protein 468(ZNF468)
134147	CMBL	Homo sapiens	carboxymethylenebutenolidase homolog(CMBL)
286436	H2BFM	Homo sapiens	H2B histone family member M(H2BFM)
1495	CTNNA1	Homo sapiens	catenin alpha 1(CTNNA1)
1493	CTLA4	Homo sapiens	cytotoxic T-lymphocyte associated protein 4(CTLA4)
1490	CTGF	Homo sapiens	connective tissue growth factor(CTGF)
339479	BRINP3	Homo sapiens	BMP/retinoic acid inducible neural specific 3(BRINP3)
27076	LYPD3	Homo sapiens	LY6/PLAUR domain containing 3(LYPD3)
27077	B9D1	Homo sapiens	B9 domain containing 1(B9D1)
27074	lamp3	Homo sapiens	lysosomal associated membrane protein 3(LAMP3)
1489	CTF1	Homo sapiens	cardiotrophin 1(CTF1)
387103	CENPW	Homo sapiens	centromere protein W(CENPW)
1487	CTBP1	Homo sapiens	C-terminal binding protein 1(CTBP1)
148789	B3GALNT2	Homo sapiens	beta-1,3-N-acetylgalactosaminyltransferase 2(B3GALNT2)
27079	RPUSD2	Homo sapiens	RNA pseudouridylate synthase domain containing 2(RPUSD2)
90326	THAP3	Homo sapiens	THAP domain containing 3(THAP3)
160419	C12orf50	Homo sapiens	chromosome 12 open reading frame 50(C12orf50)
64061	TSPYL2	Homo sapiens	TSPY like 2(TSPYL2)
160418	TMTC3	Homo sapiens	transmembrane and tetratricopeptide repeat containing 3(TMTC3)
64063	PRSS22	Homo sapiens	protease, serine 22(PRSS22)
64078	SLC28A3	Homo sapiens	solute carrier family 28 member 3(SLC28A3)
91694	LONRF1	Homo sapiens	LON peptidase N-terminal domain and ring finger 1(LONRF1)
390790	ARL5C	Homo sapiens	ADP ribosylation factor like GTPase 5C(ARL5C)
221927	BRAT1	Homo sapiens	BRCA1 associated ATM activator 1(BRAT1)
27043	pelp1	Homo sapiens	proline, glutamate and leucine rich protein 1(PELP1)
27044	SND1	Homo sapiens	staphylococcal nuclease and tudor domain containing 1(SND1)
27042	DIEXF	Homo sapiens	digestive organ expansion factor homolog (zebrafish)(DIEXF)
1497	CTNS	Homo sapiens	cystinosin, lysosomal cystine transporter(CTNS)
1496	CTNNA2	Homo sapiens	catenin alpha 2(CTNNA2)
27040	LAT	Homo sapiens	linker for activation of T-cells(LAT)
64087	MCCC2	Homo sapiens	methylcrotonoyl-CoA carboxylase 2(MCCC2)
221914	GPC2	Homo sapiens	glypican 2(GPC2)
91683	SYT12	Homo sapiens	synaptotagmin 12(SYT12)
90355	c5orf30	Homo sapiens	chromosome 5 open reading frame 30(C5orf30)
91689	SMDT1	Homo sapiens	single-pass membrane protein with aspartate rich tail 1(SMDT1)
91687	CENPL	Homo sapiens	centromere protein L(CENPL)
339451	KLHL17	Homo sapiens	kelch like family member 17(KLHL17)
604	BCL6	Homo sapiens	B-cell CLL/lymphoma 6(BCL6)
605	BCL7A	Homo sapiens	BCL tumor suppressor 7A(BCL7A)
607	BCL9	Homo sapiens	B-cell CLL/lymphoma 9(BCL9)
608	TNFRSF17	Homo sapiens	TNF receptor superfamily member 17(TNFRSF17)
64098	PARVG	Homo sapiens	parvin gamma(PARVG)
64097	EPB41L4A	Homo sapiens	erythrocyte membrane protein band 4.1 like 4A(EPB41L4A)
90381	TICRR	Homo sapiens	TOPBP1 interacting checkpoint and replication regulator(TICRR)
8909	ENDOU	Homo sapiens	endonuclease, poly(U) specific(ENDOU)
27022	FOXD3	Homo sapiens	forkhead box D3(FOXD3)
8907	AP1M1	Homo sapiens	adaptor related protein complex 1 mu 1 subunit(AP1M1)
148738	HFE2	Homo sapiens	hemochromatosis type 2 (juvenile)(HFE2)
8908	GYG2	Homo sapiens	glycogenin 2(GYG2)
27020	NPTN	Homo sapiens	neuroplastin(NPTN)
610	HCN2	Homo sapiens	hyperpolarization activated cyclic nucleotide gated potassium channel 2(HCN2)
64090	GAL3ST2	Homo sapiens	galactose-3-O-sulfotransferase 2(GAL3ST2)
64092	SAMSN1	Homo sapiens	SAM domain, SH3 domain and nuclear localization signals 1(SAMSN1)
64091	POPDC2	Homo sapiens	popeye domain containing 2(POPDC2)
617	Bcs1l	Homo sapiens	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone(BCS1L)
8905	AP1S2	Homo sapiens	adaptor related protein complex 1 sigma 2 subunit(AP1S2)
8906	ap1g2	Homo sapiens	adaptor related protein complex 1 gamma 2 subunit(AP1G2)
64093	SMOC1	Homo sapiens	SPARC related modular calcium binding 1(SMOC1)
64096	GFRA4	Homo sapiens	GDNF family receptor alpha 4(GFRA4)
8904	CPNE1	Homo sapiens	copine 1(CPNE1)
221935	SDK1	Homo sapiens	sidekick cell adhesion molecule 1(SDK1)
90378	SAMD1	Homo sapiens	sterile alpha motif domain containing 1(SAMD1)
221937	FOXK1	Homo sapiens	forkhead box K1(FOXK1)
90379	DCAF15	Homo sapiens	DDB1 and CUL4 associated factor 15(DCAF15)
221938	MMD2	Homo sapiens	monocyte to macrophage differentiation associated 2(MMD2)
376497	SLC27A1	Homo sapiens	solute carrier family 27 member 1(SLC27A1)
27032	ATP2C1	Homo sapiens	ATPase secretory pathway Ca2+ transporting 1(ATP2C1)
27033	ZBTB32	Homo sapiens	zinc finger and BTB domain containing 32(ZBTB32)
27031	NPHP3	Homo sapiens	nephrocystin 3(NPHP3)
441161	OOEP	Homo sapiens	oocyte expressed protein(OOEP)
622	BDH1	Homo sapiens	3-hydroxybutyrate dehydrogenase, type 1(BDH1)
27035	NOX1	Homo sapiens	NADPH oxidase 1(NOX1)
340419	RSPO2	Homo sapiens	R-spondin 2(RSPO2)
8912	CACNA1H	Homo sapiens	calcium voltage-gated channel subunit alpha1 H(CACNA1H)
8913	CACNA1G	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)
8910	SGCE	Homo sapiens	sarcoglycan epsilon(SGCE)
627	BDNF	Homo sapiens	brain derived neurotrophic factor(BDNF)
134111	UBE2QL1	Homo sapiens	ubiquitin conjugating enzyme E2 Q family like 1(UBE2QL1)
8911	CACNA1I	Homo sapiens	calcium voltage-gated channel subunit alpha1 I(CACNA1I)
629	CFB	Homo sapiens	complement factor B(CFB)
8914	TIMELESS	Homo sapiens	timeless circadian clock(TIMELESS)
245937	DEFB124	Homo sapiens	defensin beta 124(DEFB124)
8930	MBD4	Homo sapiens	methyl-CpG binding domain 4, DNA glycosylase(MBD4)
10251	SPRY3	Homo sapiens	sprouty RTK signaling antagonist 3(SPRY3)
23562	CLDN14	Homo sapiens	claudin 14(CLDN14)
221960	CCZ1B	Homo sapiens	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated(CCZ1B)
23564	DDAH2	Homo sapiens	dimethylarginine dimethylaminohydrolase 2(DDAH2)
359948	IRF2BP2	Homo sapiens	interferon regulatory factor 2 binding protein 2(IRF2BP2)
23566	LPAR3	Homo sapiens	lysophosphatidic acid receptor 3(LPAR3)
23569	PADI4	Homo sapiens	peptidyl arginine deiminase 4(PADI4)
8929	PHOX2B	Homo sapiens	paired like homeobox 2b(PHOX2B)
55964	SEPT3	Homo sapiens	septin 3(SEPT3)
79931	TNIP3	Homo sapiens	TNFAIP3 interacting protein 3(TNIP3)
79930	DOK3	Homo sapiens	docking protein 3(DOK3)
633	BGN	Homo sapiens	biglycan(BGN)
23560	GTPBP4	Homo sapiens	GTP binding protein 4(GTPBP4)
79933	SYNPO2L	Homo sapiens	synaptopodin 2 like(SYNPO2L)
634	CEACAM1	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 1(CEACAM1)
635	BHMT	Homo sapiens	betaine--homocysteine S-methyltransferase(BHMT)
55968	NSFL1C	Homo sapiens	NSFL1 cofactor(NSFL1C)
10253	SPRY2	Homo sapiens	sprouty RTK signaling antagonist 2(SPRY2)
79935	CNTD2	Homo sapiens	cyclin N-terminal domain containing 2(CNTD2)
636	BICD1	Homo sapiens	BICD cargo adaptor 1(BICD1)
55967	NDUFA12	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A12(NDUFA12)
8924	HERC2	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
10252	SPRY1	Homo sapiens	sprouty RTK signaling antagonist 1(SPRY1)
79934	COQ8B	Homo sapiens	coenzyme Q8B(COQ8B)
79937	CNTNAP3	Homo sapiens	contactin associated protein-like 3(CNTNAP3)
638	BIK	Homo sapiens	BCL2 interacting killer(BIK)
10254	STAM2	Homo sapiens	signal transducing adaptor molecule 2(STAM2)
8927	BSN	Homo sapiens	bassoon presynaptic cytomatrix protein(BSN)
8928	FOXH1	Homo sapiens	forkhead box H1(FOXH1)
10256	CNKSR1	Homo sapiens	connector enhancer of kinase suppressor of Ras 1(CNKSR1)
8941	CDK5R2	Homo sapiens	cyclin dependent kinase 5 regulatory subunit 2(CDK5R2)
10260	DENND4A	Homo sapiens	DENN domain containing 4A(DENND4A)
10262	SF3B4	Homo sapiens	splicing factor 3b subunit 4(SF3B4)
375189	PFN4	Homo sapiens	profilin family member 4(PFN4)
8940	TOP3B	Homo sapiens	topoisomerase (DNA) III beta(TOP3B)
10261	IGSF6	Homo sapiens	immunoglobulin superfamily member 6(IGSF6)
23576	DDAH1	Homo sapiens	dimethylarginine dimethylaminohydrolase 1(DDAH1)
117608	ZNF354B	Homo sapiens	zinc finger protein 354B(ZNF354B)
55971	BAIAP2L1	Homo sapiens	BAI1 associated protein 2 like 1(BAIAP2L1)
640	BLK	Homo sapiens	BLK proto-oncogene, Src family tyrosine kinase(BLK)
196446	MYRFL	Homo sapiens	myelin regulatory factor-like(MYRFL)
641	BLM	Homo sapiens	Bloom syndrome RecQ like helicase(BLM)
642	BLMH	Homo sapiens	bleomycin hydrolase(BLMH)
55975	KLHL7	Homo sapiens	kelch like family member 7(KLHL7)
643	CXCR5	Homo sapiens	C-X-C motif chemokine receptor 5(CXCR5)
55974	SLC50A1	Homo sapiens	solute carrier family 50 member 1(SLC50A1)
644	BLVRA	Homo sapiens	biliverdin reductase A(BLVRA)
55973	BCAP29	Homo sapiens	B-cell receptor associated protein 29(BCAP29)
79922	MRM1	Homo sapiens	mitochondrial rRNA methyltransferase 1(MRM1)
645	BLVRB	Homo sapiens	biliverdin reductase B(BLVRB)
646	BNC1	Homo sapiens	basonuclin 1(BNC1)
79924	adm2	Homo sapiens	adrenomedullin 2(ADM2)
8935	SKAP2	Homo sapiens	src kinase associated phosphoprotein 2(SKAP2)
8932	MBD2	Homo sapiens	methyl-CpG binding domain protein 2(MBD2)
10266	RAMP2	Homo sapiens	receptor activity modifying protein 2(RAMP2)
649	BMP1	Homo sapiens	bone morphogenetic protein 1(BMP1)
79925	SPEF2	Homo sapiens	sperm flagellar 2(SPEF2)
8938	BAIAP3	Homo sapiens	BAI1 associated protein 3(BAIAP3)
10268	RAMP3	Homo sapiens	receptor activity modifying protein 3(RAMP3)
285172	FAM126B	Homo sapiens	family with sequence similarity 126 member B(FAM126B)
10267	RAMP1	Homo sapiens	receptor activity modifying protein 1(RAMP1)
8936	wasf1	Homo sapiens	WAS protein family member 1(WASF1)
79929	MAP6D1	Homo sapiens	MAP6 domain containing 1(MAP6D1)
285175	UNC80	Homo sapiens	unc-80 homolog, NALCN activator(UNC80)
23549	DNPEP	Homo sapiens	aspartyl aminopeptidase(DNPEP)
7621	ZNF70	Homo sapiens	zinc finger protein 70(ZNF70)
118924	FRA10AC1	Homo sapiens	FRA10A associated CGG repeat 1(FRA10AC1)
23541	SEC14L2	Homo sapiens	SEC14 like lipid binding 2(SEC14L2)
23542	MAPK8IP2	Homo sapiens	mitogen-activated protein kinase 8 interacting protein 2(MAPK8IP2)
23543	RBFOX2	Homo sapiens	RNA binding protein, fox-1 homolog 2(RBFOX2)
221981	THSD7A	Homo sapiens	thrombospondin type 1 domain containing 7A(THSD7A)
130612	TMEM198	Homo sapiens	transmembrane protein 198(TMEM198)
130617	ZFAND2B	Homo sapiens	zinc finger AN1-type containing 2B(ZFAND2B)
206358	SLC36A1	Homo sapiens	solute carrier family 36 member 1(SLC36A1)
650	BMP2	Homo sapiens	bone morphogenetic protein 2(BMP2)
10238	DCAF7	Homo sapiens	DDB1 and CUL4 associated factor 7(DCAF7)
653	BMP5	Homo sapiens	bone morphogenetic protein 5(BMP5)
79953	SYNDIG1	Homo sapiens	synapse differentiation inducing 1(SYNDIG1)
655	BMP7	Homo sapiens	bone morphogenetic protein 7(BMP7)
79955	PDZD7	Homo sapiens	PDZ domain containing 7(PDZD7)
656	BMP8B	Homo sapiens	bone morphogenetic protein 8b(BMP8B)
79954	NOL10	Homo sapiens	nucleolar protein 10(NOL10)
657	BMPR1A	Homo sapiens	bone morphogenetic protein receptor type 1A(BMPR1A)
10231	RCAN2	Homo sapiens	regulator of calcineurin 2(RCAN2)
54658	UGT1A1	Homo sapiens	UDP glucuronosyltransferase family 1 member A1(UGT1A1)
79956	ERMP1	Homo sapiens	endoplasmic reticulum metallopeptidase 1(ERMP1)
659	BMPR2	Homo sapiens	bone morphogenetic protein receptor type 2(BMPR2)
8943	AP3D1	Homo sapiens	adaptor related protein complex 3 delta 1 subunit(AP3D1)
79959	CEP76	Homo sapiens	centrosomal protein 76(CEP76)
10232	MSLN	Homo sapiens	mesothelin(MSLN)
79958	DENND1C	Homo sapiens	DENN domain containing 1C(DENND1C)
10235	RASGRP2	Homo sapiens	RAS guanyl releasing protein 2(RASGRP2)
10237	SLC35B1	Homo sapiens	solute carrier family 35 member B1(SLC35B1)
6300	MAPK12	Homo sapiens	mitogen-activated protein kinase 12(MAPK12)
6302	TSPAN31	Homo sapiens	tetraspanin 31(TSPAN31)
7633	ZNF79	Homo sapiens	zinc finger protein 79(ZNF79)
6301	SARS	Homo sapiens	seryl-tRNA synthetase(SARS)
23552	CDK20	Homo sapiens	cyclin dependent kinase 20(CDK20)
219670	ENKUR	Homo sapiens	enkurin, TRPC channel interacting protein(ENKUR)
23553	hyal4	Homo sapiens	hyaluronoglucosaminidase 4(HYAL4)
23554	TSPAN12	Homo sapiens	tetraspanin 12(TSPAN12)
23555	tspan15	Homo sapiens	tetraspanin 15(TSPAN15)
23556	PIGN	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
23557	SNAPIN	Homo sapiens	SNAP associated protein(SNAPIN)
23558	WBP2	Homo sapiens	WW domain binding protein 2(WBP2)
660	BMX	Homo sapiens	BMX non-receptor tyrosine kinase(BMX)
54662	TBC1D13	Homo sapiens	TBC1 domain family member 13(TBC1D13)
661	POLR3D	Homo sapiens	RNA polymerase III subunit D(POLR3D)
54660	PCDHB18P	Homo sapiens	protocadherin beta 18 pseudogene(PCDHB18P)
663	BNIP2	Homo sapiens	BCL2 interacting protein 2(BNIP2)
664	BNIP3	Homo sapiens	BCL2 interacting protein 3(BNIP3)
55997	CFC1	Homo sapiens	cripto, FRL-1, cryptic family 1(CFC1)
665	BNIP3L	Homo sapiens	BCL2 interacting protein 3 like(BNIP3L)
53335	BCL11A	Homo sapiens	B-cell CLL/lymphoma 11A(BCL11A)
666	BOK	Homo sapiens	BOK, BCL2 family apoptosis regulator(BOK)
54664	TMEM106B	Homo sapiens	transmembrane protein 106B(TMEM106B)
79944	L2HGDH	Homo sapiens	L-2-hydroxyglutarate dehydrogenase(L2HGDH)
667	DST	Homo sapiens	dystonin(DST)
54663	WDR74	Homo sapiens	WD repeat domain 74(WDR74)
79943	ZNF696	Homo sapiens	zinc finger protein 696(ZNF696)
668	FOXL2	Homo sapiens	forkhead box L2(FOXL2)
669	BPGM	Homo sapiens	bisphosphoglycerate mutase(BPGM)
53339	BTBD1	Homo sapiens	BTB domain containing 1(BTBD1)
10241	CALCOCO2	Homo sapiens	calcium binding and coiled-coil domain 2(CALCOCO2)
7626	ZNF75D	Homo sapiens	zinc finger protein 75D(ZNF75D)
10244	RABEPK	Homo sapiens	Rab9 effector protein with kelch motifs(RABEPK)
7625	ZNF74	Homo sapiens	zinc finger protein 74(ZNF74)
79947	DHDDS	Homo sapiens	dehydrodolichyl diphosphate synthase subunit(DHDDS)
